year,level_1,level_2,level_3,value
2015,Total,Total,"Total",3902690
2015,Total,Total,"Ang Mo Kio- Total",174770
2015,Total,Total,"Bedok- Total",289750
2015,Total,Total,"Bishan- Total",90700
2015,Total,Total,"Boon Lay- Total",30
2015,Total,Total,"Bukit Batok- Total",139270
2015,Total,Total,"Bukit Merah- Total",155840
2015,Total,Total,"Bukit Panjang- Total",139030
2015,Total,Total,"Bukit Timah- Total",74470
2015,Total,Total,"Central Water Catchment- Total",10
2015,Total,Total,"Changi- Total",2530
2015,Total,Total,"Choa Chu Kang- Total",174330
2015,Total,Total,"Clementi- Total",91630
2015,Total,Total,"Downtown Core- Total",3720
2015,Total,Total,"Geylang- Total",116960
2015,Total,Total,"Hougang- Total",222310
2015,Total,Total,"Jurong East- Total",84980
2015,Total,Total,"Jurong West- Total",272660
2015,Total,Total,"Kallang- Total",101210
2015,Total,Total,"Lim Chu Kang- Total",90
2015,Total,Total,"Mandai- Total",2120
2015,Total,Total,"Marine Parade- Total",48730
2015,Total,Total,"Museum- Total",380
2015,Total,Total,"Newton- Total",6920
2015,Total,Total,"North-Eastern Islands- Total",60
2015,Total,Total,"Novena- Total",47990
2015,Total,Total,"Orchard- Total",920
2015,Total,Total,"Outram- Total",22080
2015,Total,Total,"Pasir Ris- Total",139890
2015,Total,Total,"Paya Lebar- Total",40
2015,Total,Total,"Pioneer- Total",100
2015,Total,Total,"Punggol- Total",109750
2015,Total,Total,"Queenstown- Total",98050
2015,Total,Total,"River Valley- Total",9190
2015,Total,Total,"Rochor- Total",14590
2015,Total,Total,"Seletar- Total",270
2015,Total,Total,"Sembawang- Total",76530
2015,Total,Total,"Sengkang- Total",206680
2015,Total,Total,"Serangoon- Total",120670
2015,Total,Total,"Singapore River- Total",2720
2015,Total,Total,"Southern Islands- Total",1480
2015,Total,Total,"Sungei Kadut- Total",850
2015,Total,Total,"Tampines- Total",261230
2015,Total,Total,"Tanglin- Total",19000
2015,Total,Total,"Tengah- Total",10
2015,Total,Total,"Toa Payoh- Total",124940
2015,Total,Total,"Tuas- Total",70
2015,Total,Total,"Western Water Catchment- Total",900
2015,Total,Total,"Woodlands- Total",250290
2015,Total,Total,"Yishun- Total",201970
2015,Total,0 - 4,"Total",183580
2015,Total,0 - 4,"Ang Mo Kio- Total",6790
2015,Total,0 - 4,"Bedok- Total",11690
2015,Total,0 - 4,"Bishan- Total",3430
2015,Total,0 - 4,"Bukit Batok- Total",5510
2015,Total,0 - 4,"Bukit Merah- Total",7210
2015,Total,0 - 4,"Bukit Panjang- Total",7330
2015,Total,0 - 4,"Bukit Timah- Total",3140
2015,Total,0 - 4,"Changi- Total",180
2015,Total,0 - 4,"Choa Chu Kang- Total",7170
2015,Total,0 - 4,"Clementi- Total",3910
2015,Total,0 - 4,"Downtown Core- Total",120
2015,Total,0 - 4,"Geylang- Total",4490
2015,Total,0 - 4,"Hougang- Total",8390
2015,Total,0 - 4,"Jurong East- Total",3290
2015,Total,0 - 4,"Jurong West- Total",13600
2015,Total,0 - 4,"Kallang- Total",4340
2015,Total,0 - 4,"Mandai- Total",90
2015,Total,0 - 4,"Marine Parade- Total",2180
2015,Total,0 - 4,"Museum- Total",20
2015,Total,0 - 4,"Newton- Total",300
2015,Total,0 - 4,"Novena- Total",2260
2015,Total,0 - 4,"Orchard- Total",40
2015,Total,0 - 4,"Outram- Total",1290
2015,Total,0 - 4,"Pasir Ris- Total",5760
2015,Total,0 - 4,"Punggol- Total",12000
2015,Total,0 - 4,"Queenstown- Total",4450
2015,Total,0 - 4,"River Valley- Total",420
2015,Total,0 - 4,"Rochor- Total",550
2015,Total,0 - 4,"Seletar- Total",10
2015,Total,0 - 4,"Sembawang- Total",4460
2015,Total,0 - 4,"Sengkang- Total",15340
2015,Total,0 - 4,"Serangoon- Total",4070
2015,Total,0 - 4,"Singapore River- Total",200
2015,Total,0 - 4,"Southern Islands- Total",90
2015,Total,0 - 4,"Sungei Kadut- Total",30
2015,Total,0 - 4,"Tampines- Total",11210
2015,Total,0 - 4,"Tanglin- Total",930
2015,Total,0 - 4,"Toa Payoh- Total",5040
2015,Total,0 - 4,"Western Water Catchment- Total",40
2015,Total,0 - 4,"Woodlands- Total",11960
2015,Total,0 - 4,"Yishun- Total",10230
2015,Total,5 - 9,"Total",204450
2015,Total,5 - 9,"Ang Mo Kio- Total",7660
2015,Total,5 - 9,"Bedok- Total",13400
2015,Total,5 - 9,"Bishan- Total",4330
